x1	x2	x3	y
-10.000000	0	0	90.000000
-7.000000	0	0	42.000000
-1.000000	0	0	0.000000
6.000000	0	0	42.000000
11.000000	0	0	132.000000
14.000000	0	0	210.000000
19.000000	0	0	380.000000
25.000000	0	0	650.000000
27.000000	0	0	756.000000
36.000000	0	0	1332.000000
37.000000	0	0	1406.000000
39.000000	0	0	1560.000000
46.000000	0	0	2162.000000
46.000000	0	0	2162.000000
55.000000	0	0	3080.000000
58.000000	0	0	3422.000000
64.000000	0	0	4160.000000
64.000000	0	0	4160.000000
70.000000	0	0	4970.000000
72.000000	0	0	5256.000000
