x1	x2	x3	y
-1.745329	0	0	1.030154
-0.296706	0	0	1.914519
1.204277	0	0	1.128428
2.548181	0	0	1.687303
2.809980	0	0	1.894005
4.433136	0	0	1.075976
5.044002	0	0	1.105995
6.544985	0	0	1.933013
8.150688	0	0	1.085481
9.005899	0	0	1.834565
9.372418	0	0	1.997261
10.454522	0	0	1.265264
10.925761	0	0	1.004866
12.496557	0	0	1.995134
13.526302	0	0	1.328990
14.625859	0	0	1.220404
15.079645	0	0	1.654508
15.777776	0	0	1.995134
16.231562	0	0	1.750000
17.488199	0	0	1.043227
18.116518	0	0	1.552264
18.308504	0	0	1.734736
19.495328	0	0	1.637819
20.664698	0	0	1.058526
21.170844	0	0	1.465122
22.602014	0	0	1.671010
23.125613	0	0	1.178606
24.207717	0	0	1.362181
24.609142	0	0	1.750000
25.778513	0	0	1.637819
26.389378	0	0	1.095492
26.895524	0	0	1.036408
26.930430	0	0	1.050603
27.314403	0	0	1.328990
28.326694	0	0	1.997261
29.530971	0	0	1.095492
30.700342	0	0	1.569587
32.323498	0	0	1.379039
33.300882	0	0	1.095491
33.492868	0	0	1.235040
34.225907	0	0	1.894005
34.732052	0	0	1.969846
36.006142	0	0	1.014852
36.372662	0	0	1.058526
36.704274	0	0	1.296632
38.170351	0	0	1.793893
38.816123	0	0	1.192169
40.526545	0	0	1.904508
40.945424	0	0	1.989074
41.207224	0	0	1.871572
42.428954	0	0	1.000305
42.655847	0	0	1.058526
43.109632	0	0	1.413176
44.697882	0	0	1.569587
46.094145	0	0	1.265264
47.071530	0	0	1.997261
48.345620	0	0	1.116978
49.427724	0	0	1.447736
50.649455	0	0	1.859670
52.324971	0	0	1.220403
53.738688	0	0	1.894005
53.825954	0	0	1.834565
54.262286	0	0	1.430414
55.728363	0	0	1.465122
56.199602	0	0	1.883022
56.827920	0	0	1.924024
56.915187	0	0	1.871572
57.718038	0	0	1.152671
58.224184	0	0	1.010926
58.451077	0	0	1.105995
59.445914	0	0	1.941474
59.864793	0	0	1.969846
61.522856	0	0	1.066987
62.954026	0	0	1.985148
63.739424	0	0	1.379039
63.983770	0	0	1.165435
65.153141	0	0	1.465122
65.746553	0	0	1.949397
66.863564	0	0	1.396044
67.614055	0	0	1.004866
68.486720	0	0	1.654508
70.005156	0	0	1.396044
70.144783	0	0	1.265264
71.471233	0	0	1.500000
72.832590	0	0	1.703368
74.368479	0	0	1.265264
75.834556	0	0	1.821394
75.886916	0	0	1.779597
76.777034	0	0	1.036408
77.719512	0	0	1.465122
79.447387	0	0	1.379039
80.005893	0	0	1.010926
81.053090	0	0	1.654508
82.379541	0	0	1.586824
83.566364	0	0	1.095491
84.247043	0	0	1.703368
84.456482	0	0	1.871572
84.910268	0	0	1.992404
86.411251	0	0	1.000305
88.051861	0	0	1.992404
